"sex" "age" "field" "language" "education" "paranormal" "toss.K" "toss.RT" "grid.K" "grid.RT" "guess.K" "guess.RT" "roll.K" "roll.RT" "spot.K" "spot.RT" "K" "toss" "guess" "roll" "spot" "grid" "RT"
"male" 44.1013698630137 "other" "french" 6 0 -1.25670379581579 27.1 -3.04096573668208 6.1 0.73173807375834 23.4 0.269339686296039 20.4 -0.00658362945279959 15.9 -0.660635080379258 "000000000111" "2351321135" "6245156333" "8855624177" "111111111" 92.9
"male" 44.8493150684931 "science" "french" 4 3 -0.797830410346681 14.9 0.206595179695689 26.1 1.08774969302007 15.7 0.775921099158584 14.9 0.868362309598587 18 0.42815957422525 "110110000000" "2115231421" "1412314652" "1686382461" "110011010" 89.6
"female" 51.8328767123288 "humanities" "french" 4 4 1.48269243819545 28.4 0.206595179695689 12.9 0.914708044066904 28 2.51333158285832 9 1.8373737635523 12.9 1.39094020167373 "011100001101" "2412453214" "1562432516" "4582168973" "001111010" 91.2
"female" 27.772602739726 "0" "french" 3 2 -0.420979761617647 28.2 1.03696005461221 20.6 -0.588818603992192 16.3 -0.993559546531249 8.9 -15.1528449549343 18.9 -3.22384856249264 "000001111111" "1211551411" "4665445644" "5555555555" "101010100" 92.9
"female" 35.3561643835616 "humanities" "french" 6 3 -0.720399077377 10.9 -0.729549989308822 28.9 0.462388093237513 48.8 0.86155388414172 27.4 1.18341520090264 31 0.21148162231921 "001011011010" "4341243123" "2166421526" "5196254374" "110000011" 147
"female" 43.4082191780822 "humanities" "french" 6 4 -0.25121223725599 50.1 0.206595179695689 24.1 0.334581709847461 28 -0.231777156934606 28.5 1.33336379384179 15.9 0.278310257838869 "111101000000" "2314241555" "6643515145" "4769423679" "010110011" 146.6
"male" 39.9287671232877 "science" "french" 6 1 -0.439405629900964 16.1 1.8214169933467 36.2 1.54150668795034 17.3 1.83926159117726 30.5 1.55796729946677 15.3 1.26414938840802 "011101010010" "3412532541" "2413356143" "5349561872" "010001101" 115.4
"female" 59.5890410958904 "humanities" "french" 4 0 -0.301972727256737 26 -0.956960540698852 13.2 1.40185133617977 12.9 1.14096501449771 16.3 1.32140589338124 7.1 0.521057795220626 "101110000000" "2124315213" "5226416533" "9547235643" "001010010" 75.5
"female" 40.7643835616438 "humanities" "english" 4 0 -0.683787012894562 12.1 0.356184830254905 10 1.61953036019325 12.9 0.705737842335319 8.8 -15.1528449549343 11.1 -2.63103578700908 "001011101101" "4231543231" "2354123546" "5555555555" "001101010" 54.9
"female" 60.0027397260274 "science" "french" 4 3 1.09183156533535 20.6 -0.678035429199681 17 1.92003310900895 19 1.58322347472104 9.3 1.84731296595479 17 1.15287313716409 "011010011100" "3521425313" "5136425362" "6418735842" "011111100" 82.9
"female" 50.427397260274 "science" "french" 6 0 -0.395826269811938 19.9 -3.04096573668208 12.8 1.51939323435823 15.6 1.5964632222159 14.6 1.30790584325009 16.8 0.19739405866604 "011001001101" "3214312541" "5342566134" "8424716952" "000000000" 79.7
"female" 43.4027397260274 "science" "french" 7 0 0.404517267557664 36.4 0.189437849218902 27.8 0.318301979589277 29.1 1.74735094781636 28.2 -0.138841702682533 36.4 0.504153268299934 "011110100010" "3521544333" "2563445132" "5556847398" "010001100" 157.9
"female" 40.2547945205479 "0" "french" 1 3 -2.66137308589141 44.4 -0.179909135817002 44.8 -0.935989997298935 52.6 1.01055332871524 54.6 -6.78701203395445 35 -1.91074618484931 "000000001000" "5215212513" "1354635516" "6236236236" "001011110" 231.4
"male" 37.441095890411 "science" "french" 6 0 -0.580153206510233 8.6 0.206595179695689 8.6 -9.98203234107658 20.2 1.63353482172434 5.9 -15.1528449549343 9.1 -4.77498010022022 "000101110101" "4444444444" "2561132453" "2222222222" "010110011" 52.4
"male" 25.6547945205479 "other" "french" 4 4 -2.06257400904401 13 1.8214169933467 16.2 1.90242921043956 18.1 1.8511886791792 21.9 2.14310714217543 10.1 1.13111360321938 "000101001001" "4312152234" "3235162453" "8649137582" "010011101" 79.3
"female" 47.6904109589041 "humanities" "french" 6 0 -0.590539088626424 33.1 0.356184830254905 9.1 0.424895705111823 22.9 1.31713640821284 10.2 1.41410165516136 13.2 0.584355902022901 "110101000000" "2324312252" "4365316125" "5264185935" "100101010" 88.5
"male" 40.5068493150685 "other" "french" 5 2 1.2667543388864 7.2 -0.956960540698852 12.1 -0.418000847306264 19.6 0.845940578602613 16 -2.08119866674739 14.3 -0.268693027452699 "011110100011" "3222251432" "2231411653" "5141223322" "111100011" 69.2
"female" 41.041095890411 "other" "french" 5 5 -0.910361981985367 9.1 -0.68845135493541 15.4 0.712326147532411 25 1.19475485881682 19.6 1.26003967526155 9.1 0.313661468938001 "101100000000" "4131553125" "5246335213" "8127328671" "011011101" 78.2
"male" 30.6328767123288 "science" "french" 6 1 1.06049521580345 9.7 -3.04096573668208 7.2 1.89081983626645 11.9 0.548256205934952 20.2 1.26809880581003 8.1 0.34534086542656 "001011101001" "2431542231" "4365234346" "5946538246" "000000000" 57.1
"female" 37.8465753424658 "other" "french" 6 4 0.165508594605112 18.2 0.206595179695689 27.4 1.70738840511612 20.1 1.03478825158093 17.6 0.807375508042064 13.7 0.784331187807983 "110010000000" "3455312435" "5234461436" "5623414595" "101001100" 97
"female" 50.1835616438356 "science" "french" 4 0 0.645515360236773 24.4 0.356184830254905 21.3 -3.06559897737274 36.4 1.05719183609921 16.5 1.64561035790995 9 0.12778068142562 "000011111101" "5555543445" "6325165363" "8324913598" "101010011" 107.6
"female" 42.5397260273973 "science" "french" 7 2 0.360140724337139 21.4 -0.956960540698852 20.8 1.75879461067337 23.6 1.10077725892226 16.2 -0.251444463131977 12.1 0.402261518020388 "010110110001" "2352143255" "2325665124" "5625876366" "101101110" 94.1
"male" 34.8082191780822 "science" "french" 4 0 0.944802694303407 17.7 0.0895387518471959 16.3 1.80680013542777 22.4 1.00619190749908 9.7 2.05470195603994 6.9 1.18040708902348 "010011010011" "2431543214" "5246132622" "8547269314" "100101000" 73
"female" 36.0767123287671 "science" "french" 7 0 0.972396796684674 9.1 0.189437849218902 6.4 1.57766131749934 18.6 0.415301560195628 11 1.35846895092964 8.7 0.902653294905637 "011110011100" "5451321452" "5235241435" "6478574139" "010001100" 53.8
"male" 50.8383561643836 "other" "french" 6 0 -2.43805909431201 48.3 0.356184830254905 12.3 1.71244161578816 23.1 2.22962194791495 10.6 1.64561035790995 16.9 0.701159931511191 "011010101010" "3242153432" "2653142516" "5298127385" "010001110" 111.2
